Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,destinationObjects_Organization.id
INMED Partnership for Children,NGOs,,NGOs and CSOs,1307
Innovasjon Norge,Private sector corporations,,Other,1366
Innovative Development Organization,NGOs,,NGOs and CSOs,6644
Innovative Humanitarian Solutions,NGOs,,NGOs and CSOs,6506
Inprosula,Private sector corporations,,Other,358
Insan Association,NGOs,,NGOs and CSOs,1599
INSAN Iraqi Society for Relief and Development,NGOs,National NGO,NGOs and CSOs,8104
INST. UNIV. DE HAUTES ETUDES INT.,Academia/think/research,,NGOs and CSOs,1382
Institut Européen de Coopération et de Développement,NGOs,International NGO,NGOs and CSOs,517
Institut Menzingen,Other,,Other,6071
"Institute for Development, Research, Advocacy and Applied Care",NGOs,,NGOs and CSOs,8112
Institute for Human Rights and Business,Academia/think/research,,NGOs and CSOs,5805
Institute for International Co-operation and Development,NGOs,,NGOs and CSOs,4633
Institute for International Social Affairs,Academia/think/research,,NGOs and CSOs,8488
Institute for War and Peace Reporting,NGOs,,NGOs and CSOs,5808
Institute of Cultural Affairs Japan,NGOs,,NGOs and CSOs,1229
Institute of Development Studies,Academia/think/research,,NGOs and CSOs,1412
Institute of Environmental Science and Research,DAC governments,,,11548
"Institute of Human Rights Communication, Nepal",NGOs,,NGOs and CSOs,1490
Instituto Cabo Verdiano de Accao Social Escolar,Academia/think/research,,NGOs and CSOs,3328
Instituto Colombiano de Bienestar Familial,National government,,Public Sector,2791
Instituto de Directores de Mocambique,Private individual/organisation,,NGOs and CSOs,563
Instituto de Estudios del Hambre,Academia/think/research,,NGOs and CSOs,2345
Instituto Dominicano de Desarrollo Integral,NGOs,National NGO,NGOs and CSOs,NA
"Instituto Dominicano de Desarrollo Integral, Inc.",NGOs,National NGO,NGOs and CSOs,11843
"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología",National Government,,Public Sector,12345
Instituto per la Cooperazione Universitaria Onlus,NGOs,International NGO,NGOs and CSOs,3679
Instituto Sou da Paz,Academia/think/research,,NGOs and CSOs,460
Institutt for Journalistikk,Academia/think/research,,NGOs and CSOs,736
Institutt for Sosiologi og Samfunnsgeografi,Academia/think/research,,NGOs and CSOs,5000
Integrated Health Services,Other,,Other,6304
Integrated Rural Development and Nature Conservation,NGOs,,NGOs and CSOs,2818
Integrated Social Development Effort Bangladesh,NGOs,,,9351
Integrated Sustainable Livelihoods,Other,,Other,3703
Integrated Youth and Relief Development Association,NGOs,National NGO,NGOs and CSOs,7299
Integrationsrat,DAC governments,,Public Sector,2906
Inter Aide,NGOs,,NGOs and CSOs,2505
Inter Cooperation,NGOs,,NGOs and CSOs,5271
Inter Press Service,Private sector corporations,,Other,398
Inter Religious Council,NGOs,National NGO,NGOs and CSOs,4414
Inter-Actions,NGOs,,NGOs and CSOs,4975
Inter-American Development Bank,Other multi,,Other multi,3788
InterAct,NGOs,,NGOs and CSOs,3106
InterAction,NGOs,International NGO,NGOs and CSOs,3988
Interaction in Development Foundation,NGOs,,NGOs and CSOs,802
Intercare,NGOs,,NGOs and CSOs,4011
Interchurch Medical Assistance World Health,NGOs,International NGO,NGOs and CSOs,2654
Intergov Authority on Development,Other multi,,Other multi,NA
Intergovernmental  Authority on Development,Other multi,,Other multi,3696
Intergovernmental Authority on Development,Other multi,,Other multi,8342
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs,,NGOs and CSOs,4704
INTERMON,NGOs,,NGOs and CSOs,2494
Internal Displacement Monitoring Centre,Academia/think/research,,,11542
International Academy for Leadership and Development (IALD),NGOs,National NGO,NGOs and CSOs,11073
International Action Network on Small Arms,NGOs,,NGOs and CSOs,5800
International Agricultural Research Center,Academia/think/research,,NGOs and CSOs,3156
International Aid,NGOs,,NGOs and CSOs,1305
International Aid Hand,NGOs,,NGOs and CSOs,1995
International Aid Network,NGOs,National NGO,NGOs and CSOs,8751
International Aid Services,NGOs,International NGO,NGOs and CSOs,3027
International Aid Services Denmark,NGOs,,NGOs and CSOs,2529
International Alert,NGOs,,NGOs and CSOs,2830
International Alliances,Other,,Other,2671
International Assistance Mission,NGOs,,NGOs and CSOs,4385
International Association for Maternal and Neonatal Health,NGOs,International NGO,NGOs and CSOs,3356
International Bank for Reconstruction & Development (World Bank),UN Multi,,UN Multi,8509
International Blue Crescent Relief and Development Foundation,NGOs,Southern International NGO,NGOs and CSOs,8053
"International Business & Technical Consultants, Inc.",Private sector corporations,,NGOs and CSOs,9277
International Business Leaders Forum,Private individual/organisation,,NGOs and CSOs,3660
International Campaign to Abolish Nuclear Weapons (ICAN),NGOs,International NGO,NGOs and CSOs,7012
International Campaign to Ban Landmines,NGOs,International NGO,NGOs and CSOs,1442
International Catholic Migration Commission,NGOs,International NGO,NGOs and CSOs,4304
International Center for Agricultural Research in Dry Areas,Academia/think/research,,NGOs and CSOs,2865
International Center for Integrated Mountain Development,Academia/think/research,,NGOs and CSOs,2572
"International Centre for Diarrhoeal Disease Research, Bangladesh",Academia/think/research,,NGOs and CSOs,4438
International Centre for Migration Policy Development,Academia/think/research,,NGOs and CSOs,585
International Centre for Transitional Justice,NGOs,International NGO,NGOs and CSOs,3897
"International charitable organization """"""""International Medical Care""""""""",NGOs,,,NA
International Charity Organization,NGOs,International NGO,NGOs and CSOs,12018
International Children's Action Network,NGOs,International NGO,NGOs and CSOs,8861
International Cities of Refuge Network,Private individual/organisation,,NGOs and CSOs,5209
International Civil Aviation Organisation,UN Multi,,UN Multi,1833
International Civil Defense Organisation,Other multi,,Other multi,3761
International Coalition to Ban Uranium Weapons,NGOs,,NGOs and CSOs,428
International Commission Against Impunity,Other multi,,Other multi,NA
International Commission against Impunity in Guatemala,Other multi,,Other multi,1577
International Commission against the Death Penalty - ICDP,Other multi,,Other multi,507
International Commission for Human Development,NGOs,,NGOs and CSOs,6951
International Commission of Jurists,NGOs,,NGOs and CSOs,1517
International Commission on Missing Persons,NGOs,,NGOs and CSOs,4081
International Committee for the Development of Peoples,NGOs,,NGOs and CSOs,3370
International Committee of the Red Cross,Red Cross,,RCRC,2967
International Corn Foundation,Foundations,,NGOs and CSOs,4424
International Council of Voluntary Agencies,NGOs,International NGO,NGOs and CSOs,56
International Council on Human Rights Policy,Academia/think/research,,NGOs and CSOs,5220
International Criminal Court,Other multi,,Other multi,3143
International Criminal Tribunal for Rwanda,Other multi,,Other multi,3533
International Crisis Group,NGOs,,NGOs and CSOs,4745
International Dalit Solidarity Network,NGOs,International NGO,NGOs and CSOs,2677
International Development and Relief Foundation,NGOs,,NGOs and CSOs,4402
International Development Association,Other multi,,Other multi,6089
International Development Law Organisation,NGOs,,NGOs and CSOs,2808
International Dispensary Association,Foundations,,NGOs and CSOs,2212
International Emergency and Development Aid,NGOs,International NGO,NGOs and CSOs,1035
International Eurasia Press Fund,NGOs,,NGOs and CSOs,6560
International Federation for Human Rights,NGOs,International NGO,NGOs and CSOs,3657
International Federation of Human Rights,NGOs,,NGOs and CSOs,NA
International Federation of Journalists,Private individual/organisation,,NGOs and CSOs,221
International Federation of Red Cross and Red Crescent Societies,Red Cross,,RCRC,4393
International Federation of Red Cross and Red Crescent Societies | International Committee of the Red Cross,IFRC,,,NA
International Foundation for Education and Self Help,Foundations,,NGOs and CSOs,4577
International Foundation for Election Systems,Foundations,,NGOs and CSOs,2703
International Fund for Agricultural Development,UN Multi,,UN Multi,2183
International Health Partners,NGOs,International NGO,NGOs and CSOs,3820
International HIV/AIDS Alliance,NGOs,,NGOs and CSOs,NA
International Human Rights Law Group,NGOs,,NGOs and CSOs,2653
International Humanitarian City,Other,,Other,5863
International Humanitarian Fact-Finding Commission,Other,,Other,586
International Humanitarian Fund LIBA,Other,,Other,2663
International Humanitarian Partnership,Other multi,,Other multi,1463
International Humanitarian Relief,NGOs,International NGO,NGOs and CSOs,1579
International Humanitarian Service,NGOs,,NGOs and CSOs,3727
International Initiative for Impact Evaluation (3ie),Academia/think/research,,NGOs and CSOs,7587
International Institute for Democracy and Electoral Assistance - International IDEA,Other multi,,Other multi,1443
International Institute of Humanitarian Law,NGOs,,NGOs and CSOs,3919
International Institute of Rural Reconstruction,Academia/think/research,,NGOs and CSOs,4066
International Institute of Tropical Agriculture,Academia/think/research,,NGOs and CSOs,3607
International Islamic Charitable Organization,NGOs,,NGOs and CSOs,NA
International Islamic Charity Organization,,,,2593
International Islamic Relief Organization,NGOs,Southern International NGO,NGOs and CSOs,3397
International Labour Organization,UN Multi,,UN Multi,2994
International Law and Policy Institute,Academia/think/research,,NGOs and CSOs,1600
International Lifeline Fund,NGOs,,NGOs and CSOs,6422
International Maize and Wheat Improvement Center,Academia/think/research,,NGOs and CSOs,3453
International Maritime Organization,UN Multi,,UN Multi,4126
International Media Support,NGOs,International NGO,NGOs and CSOs,216
International Medical Corps,NGOs,International NGO,NGOs and CSOs,4303
International Medical Corps UK,NGOs,International NGO,NGOs and CSOs,8605
International Medical Support Services,Private sector corporations,,Other,3638
International Medical Volunteers Japan Heart,NGOs,International NGO,NGOs and CSOs,9870
International Movement ATD Fourth World,NGOs,,NGOs and CSOs,5177
International Network for Environmental Management,NGOs,,NGOs and CSOs,6588
International News Safety Institute,Private individual/organisation,,NGOs and CSOs,2242
International NGO Safety Organisation,NGOs,International NGO,NGOs and CSOs,6865
International NGO Training and Research Centre,Academia/think/research,,NGOs and CSOs,4693
"International Nothilfe e.V., Coswig",NGOs,,NGOs and CSOs,2954
International Organization for Community Development and Humanitarian Support,NGOs,International NGO,NGOs and CSOs,NA
International Organization for Migration,UN Multi,,UN Multi,2986
International Orthodox Christian Charities,NGOs,International NGO,NGOs and CSOs,4808
International Partnership for Human Development,NGOs,,NGOs and CSOs,4680
International Patients' Helping Society,NGOs,Undefined NGO,NGOs and CSOs,6160
International Peace Academy,Academia/think/research,,NGOs and CSOs,2807
International Peace and Cooperation Center (IPCC),NGOs,,NGOs and CSOs,4948
International Peace Building Alliance/WSP International,Other,,Other,3908
International Peace Research Institute,Academia/think/research,,NGOs and CSOs,3573
"International Pen, Writers in Prison Committee",Private individual/organisation,,NGOs and CSOs,3629
International Planned Parenthood Federation,NGOs,International NGO,NGOs and CSOs,1944
International Planned Parenthood Federation Western Hemisphere Region,NGOs,,NGOs and CSOs,8607
International Potato Center,Academia/think/research,,NGOs and CSOs,4818
International Press Institute,Private individual/organisation,,NGOs and CSOs,1815
International Procurement Agency,Private sector corporations,,Other,1011
International Reading Association,Private individual/organisation,,NGOs and CSOs,1288
International Rehabilitation Council of Tortured Victims,Other,,Other,5215
International Relief and Development,NGOs,International NGO,NGOs and CSOs,2656
International Relief Teams,NGOs,,NGOs and CSOs,2768
International Renaissance Foundation,Foundations,,NGOs and CSOs,970
International Rescue Committee,NGOs,International NGO,NGOs and CSOs,3001
International Resources Group,Private sector corporations,,Other,3262
International Rice Research Institute,NGOs,,NGOs and CSOs,6167
International Security Sector Advisory Team,Academia/think/research,,NGOs and CSOs,2238
International Service for Human Rights,NGOs,,NGOs and CSOs,3920
International Solidarity,NGOs,,,NA
International Solidarity Foundation,NGOs,International NGO,NGOs and CSOs,2387
International Talk Network Ltd,Other,,Other,7590
International Telecommunications Union,UN Multi,,UN Multi,3440
International Trade Center,Other multi,,Other multi,9378
International Training Inc.,Private sector corporations,,Other,139
International Trust Fund for Demining and Victim Assistance,NGOs,International NGO,NGOs and CSOs,1891
International Volunteer Center of Yamagata,NGOs,International NGO,NGOs and CSOs,519
International Work Group for Indigenous Affairs,NGOs,,NGOs and CSOs,2392
International Youth Council - Yemen,NGOs,Internationally affiliated NGO,NGOs and CSOs,7900
Internationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,NGOs,,NGOs and CSOs,4411
Internews,NGOs,International NGO,NGOs and CSOs,5230
Internews Europe,NGOs,International NGO,NGOs and CSOs,2870
Interpeace,Other,,Other,4459
INTERSOS Humanitarian Aid Organization,NGOs,International NGO,NGOs and CSOs,3244
"Interstate Products, Inc",Private sector corporations,,Other,3976
Intertek Group plc,Private sector corporations,,Other,9316
Intl Humanitarian Org World View,NGOs,,NGOs and CSOs,4040
Inuit Circumpolar Conference,NGOs,,NGOs and CSOs,2421
Invisible Children,NGOs,International NGO,NGOs and CSOs,10488
InWent,NGOs,,NGOs and CSOs,3379
IOGT-NTO,Other,,Other,2556
IOM Development Fund,UN Multi,,UN Multi,11007
IPYS - Instituto Prensa y Sociedad,Other,,Other,487
IQC TBD,Other,,Other,2890
Iqra Cultural Center,Other,,Other,761
Iran,National government,,Public Sector,4812
Iraq,National government,,Public Sector,2859
Iraq Health Access Organization,NGOs,National NGO,NGOs and CSOs,3621
Iraq Humanitarian Fund,CBPF,,UN Multi,7958
Iraqi Al-Mortaqa Foundation for Human Development,NGOs,National NGO,NGOs and CSOs,8274
Iraqi Handicapped Society,NGOs,,NGOs and CSOs,125
Iraqi Red Crescent Society,Red Cross,,RCRC,3561
Iraqi Relief Organisation,Other,,Other,4464
Iraqi Southern Sun Association,Other,,Other,4474
Iraqi Youth League,NGOs,,NGOs and CSOs,2322
"IRIS KIM, Inc.",Private sector corporations,,Other,5813
Irish Centre for Human Rights,Academia/think/research,,NGOs and CSOs,2316
Irish Red Cross Society,Red Cross,,RCRC,8489
Irish Sri Lanka Trust Fund,Other,,Other,2809
Irish UNMIL Battalion,Other,,Other,3481
irshad and islah society lebanon,NGOs,,NGOs and CSOs,658
ISJ,Other,,Other,1985
Islah Foundation For Society Development,NGOs,,NGOs and CSOs,7321
Islamic African Relief Agency,NGOs,,NGOs and CSOs,2068
Islamic Center Society,NGOs,,NGOs and CSOs,177
Islamic Charity Association,NGOs,,NGOs and CSOs,5845
Islamic Charity Association - Aoun for relief and Development,Undefined,,Other,8138
Islamic Charity Society Center,NGOs,,NGOs and CSOs,6537
Islamic Commission of Care,Other,,Other,7346
Islamic Committee of the International Crescent,Other multi,,Other multi,11095
Islamic Development Bank,Other multi,,Other multi,110
Islamic Help,NGOs,International NGO,NGOs and CSOs,6917
Islamic Institute of Autism,Private individual/organisation,,NGOs and CSOs,4807
Islamic Medical Association,Private individual/organisation,,NGOs and CSOs,5847
Islamic Relief Jordan,NGOs,Internationally affiliated NGO,NGOs and CSOs,10106
Islamic Relief Pakistan,NGOs,Internationally affiliated NGO,NGOs and CSOs,1543
Islamic Relief Worldwide,NGOs,International NGO,NGOs and CSOs,2304
Islamic Relief Worldwide | Almassar Charity organization for Nomadâ€™s Development and Environmental Conservation,NGOs,,,NA
Islamic Relief Worldwide | Almassar Charity organization for Nomad’s Development and Environmental Conservation,NGOs,Undefined NGO,NGOs and CSOs,NA
Islamic Social Welfare Organization,NGOs,National NGO,NGOs and CSOs,10094
ISP IN AFRICA,Other,,Other,4148
ISPED,Academia/think/research,,NGOs and CSOs,2433
ISRA - Islamic Relief Agency,NGOs,,NGOs and CSOs,1977
Israel,National government,,Public Sector,4847
ISRAELI INFO.CNTR.HUMAN RIGHTS (B-TSELEM),Academia/think/research,,NGOs and CSOs,NA
ISS - Institute for Security Studies,Academia/think/research,,NGOs and CSOs,3560
Istanbul International BrOtherhood and Assistance Association,NGOs,,NGOs and CSOs,2729
Istituto Oikos onlus,NGOs,International NGO,NGOs and CSOs,5607
Italian Agency for Development Cooperation,DAC governments,,Public Sector,8924
Italian Agency for Food Aid (AGEA),DAC governments,,Public Sector,8518
Italian Consortium of Solidarity,NGOs,,NGOs and CSOs,3924
Italian Red Cross,Red Cross,,RCRC,68
Italy,DAC governments,,Public Sector,3774
ITF,NGOs,International NGO,NGOs and CSOs,1429
IUED,Academia/think/research,,NGOs and CSOs,4806
J/P Haitian Relief Organization,NGOs,International NGO,NGOs and CSOs,5861
Jabal Marra Charity Organization for Rural Development,NGOs,National NGO,NGOs and CSOs,6529
JAFS,Other,,Other,796
JAGAN. L.A.,Other,,Other,2095
Jairos Jiri Association,NGOs,,NGOs and CSOs,4657
Jamaica,National government,,Public Sector,3817
Jamaica Red Cross,Red Cross,,RCRC,2858
Jamia Darussalam,Academia/think/research,,Other,11080
Jamia Islamia Ishaatul Uloom,NGOs,Local NGO,NGOs and CSOs,11081
Janat Al-Frdaws Foundation for Relief and Development,NGOs,National NGO,NGOs and CSOs,6254
Janus e.V,NGOs,,NGOs and CSOs,2644
Japan,DAC governments,,Public Sector,4537
Japan Actions for Relief Center,Other,,Other,792
Japan Agency for Development and Emergency,NGOs,International NGO,NGOs and CSOs,4983
Japan America Society of Southern California,Private individual/organisation,,NGOs and CSOs,2996
Japan Asian Association and Asian Friendship Society,NGOs,,NGOs and CSOs,1161
Japan Association for Refugees,NGOs,,NGOs and CSOs,485
Japan Campaign for Children of Palestine,NGOs,International NGO,NGOs and CSOs,845
Japan Center for Conflict Prevention,NGOs,International NGO,NGOs and CSOs,NA
Japan Emergency NGO,NGOs,International NGO,NGOs and CSOs,1864
Japan International Cooperation Agency,DAC governments,,Public Sector,476
Japan International Support Program,NGOs,,,11487
Japan International Volunteer Center,NGOs,,NGOs and CSOs,3729
Japan Overseas Cooperation Volunteers,NGOs,,NGOs and CSOs,5341
Japan Platform,Undefined,,Other,2634
Japan Rescue Association,NGOs,,NGOs and CSOs,3978
Japan Self Defense Forces,DAC governments,,Public Sector,4697
Japan Society,Private individual/organisation,,NGOs and CSOs,467
Japan-ASEAN Integration Fund,Other,,Other,1467
Japanese NGOs,NGOs,,NGOs and CSOs,1576
Japanese Organization for International Cooperation in Family Planning (JOICFP),NGOs,,NGOs and CSOs,7011
Japanese Red Cross Society,Red Cross,,RCRC,2061
JAS Forwarding Worldwide Inc.,Private sector corporations,,Other,9285
JASMAR Human Security Organization,NGOs,National NGO,NGOs and CSOs,1997
JCS - Joint Christian Services,NGOs,,NGOs and CSOs,3271
Jemael-international,Private sector corporations,,Other,128
JEOP - Joint Emergency Operation,Other,,Other,3765
Jesuit Refugee Service,NGOs,International NGO,NGOs and CSOs,4024
JHPIEGO,Private individual/organisation,,NGOs and CSOs,2629
Jireh Doo Foundation,NGOs,National NGO,NGOs and CSOs,9202
Jiyan Foundation for Human Rights,Foundations,,NGOs and CSOs,7333
Jmaaiat Al ayadi Albaidaa - Lebanon,Other,,Other,1197
Johanniter International Assistance,NGOs,International NGO,NGOs and CSOs,7183
Johanniter Unfallhilfe e.V.,NGOs,International NGO,NGOs and CSOs,3050
John Dau Foundation,NGOs,International NGO,NGOs and CSOs,5101
John Hopkins Center for Communication Programs,Academia/think/research,,NGOs and CSOs,NA
John Hopkins University,Academia/think/research,,NGOs and CSOs,NA
"John S Connor, Inc",Private sector corporations,,Other,1750
John Snow International,Private sector corporations,,Other,4104
Johns Hopkins Center for Communication Programs,Academia/think/research,,Other,1009
Johns Hopkins University,Academia/think/research,,NGOs and CSOs,9278
Johor Community Development Committee for Women and Family Development,Other,,Other,1335
Joint Aid Management International,NGOs,Southern International NGO,NGOs and CSOs,541
Joint Christian Services International,Private individual/organisation,,NGOs and CSOs,4122
"Joint Development Associates, USA",NGOs,,NGOs and CSOs,4737
Joint IDP Profiling Service,Academia/think/research,,NGOs and CSOs,7172
Joint Mediation Support Team,Other,,Other,2320
Joint Research Centre,Academia/think/research,,NGOs and CSOs,2625
Joint Saudi Committee for Kosovo Relief/Skopje,National government,,Public Sector,3263
Joint Standards Initiative,NGOs,,NGOs and CSOs,6116
Jordan,National government,,Public Sector,4083
Jordan Engineering Association,Private sector corporations,,Other,573
Jordan Hashemite Charity Organization,NGOs,Southern International NGO,NGOs and CSOs,4630
Jordan Health Aid Society,NGOs,Southern International NGO,NGOs and CSOs,1598
Jordan Humanitarian Fund,CBPF,,UN Multi,7981
Jordan National Red Crescent Society,Red Cross,,RCRC,3543
Jordan paramedic society,NGOs,National NGO,NGOs and CSOs,7960
JORDAN RIVER FOUNDATION,NGOs,National NGO,NGOs and CSOs,3664
Jordan Women Union-Un Ponte Per,NGOs,National NGO,NGOs and CSOs,391
Jordanian Charity Association,NGOs,,NGOs and CSOs,5851
Jordanian Club for Deaf,NGOs,,,10947
Jordanian Hashemite Fund for Human Development,NGOs,National NGO,NGOs and CSOs,9815
Jordanian National Commission for Women,National government,,Public Sector,1139
JP Morgan Chase,Private sector corporations,,Other,4037
JTS-Korea,Private sector corporations,,Other,3048
Juba Foundation,NGOs,National NGO,NGOs and CSOs,6872
Juba Shine,Other,,Other,3538
Jubaland Development Organization,NGOs,,NGOs and CSOs,6634
Jubbalandese Charity Centre,NGOs,,NGOs and CSOs,2309
Judicial System Monitoring Programme,Other,,Other,191
JUPEDEC (United Youth for the Protection of the Environment and Community Development),NGOs,Local NGO,NGOs and CSOs,46
Juridisk rådgivning for kvinner,Other,,Other,3890
Just Associates,NGOs,,NGOs and CSOs,220
Just Peace Initiatives,NGOs,,NGOs and CSOs,NA
Just Peace International,NGOs,Local/National NGO,NGOs and CSOs,5077
Justice for Children Organization (South Sudan),NGOs,Internationally affiliated NGO,NGOs and CSOs,10522
Justice Gate Organization,NGOs,,,11450
KAAH Relief and Development Organization,NGOs,,,8162
KAALO Aid and Development,NGOs,Local/National NGO,NGOs and CSOs,4183
"Kaalo Nederland, Stichting",NGOs,International NGO,NGOs and CSOs,10423
KAALO Relief and Development Organisation,NGOs,National NGO,NGOs and CSOs,4067
Kabakabiya Smallhoders Charitable Society,NGOs,National NGO,NGOs and CSOs,5991
Kabkabiya Women Charitable Society,NGOs,Local NGO,NGOs and CSOs,8909
Kachin Baptist Convention,NGOs,National NGO,NGOs and CSOs,6670
Kadugli Interfaith Coalition,Private individual/organisation,,NGOs and CSOs,1863
KAFA Enough Violence and Exploitation,NGOs,National NGO,NGOs and CSOs,397
Kamore Development Welfare Organization,NGOs,National NGO,NGOs and CSOs,6365
Kandil Development and Aid Association (Kandil KalkÁ„±nma ve YardÁ„±mlaÁ…Ÿma DerneÁ„Ÿi),NGOs,Southern International NGO,NGOs and CSOs,NA
Kandil Development and Aid Association (Kandil KalkÄ±nma ve YardÄ±mlaŠŸma DerneÄŸi),NGOs,,,NA
Kanem Borno Human Development Association,NGOs,National NGO,NGOs and CSOs,9168
Kanz Humanitarian organization,NGOs,,NGOs and CSOs,530
Karda Systems,Private sector corporations,,Other,4252
Karl Kubel Foundation for Children's Families,Foundations,,NGOs and CSOs,2639
"Karolinska Institutet, Department of Public Health Sciences",Academia/think/research,,NGOs and CSOs,4731
Karuna Hpaan,Other,,Other,6034
Karuna Myanmar Social Services,NGOs,National NGO,NGOs and CSOs,6031
Karuna Taungngu,Private individual/organisation,,NGOs and CSOs,6032
Katachel e.V,NGOs,,NGOs and CSOs,4098
Katchin Women's Association Thailand,NGOs,Local NGO,NGOs and CSOs,10283
Katholische Männerbewegung,NGOs,,NGOs and CSOs,69
Kazakh Red Crescent Society,Red Cross,,RCRC,3985
Kazakhstan,National government,,Public Sector,4795
Kenya,National government,,Public Sector,4848
Kenya Community Sports Foundation,Foundations,,NGOs and CSOs,310
Kenya ERF (until 2014),CBPF,,UN Multi,7982
Kenya Land Alliance,NGOs,,NGOs and CSOs,4447
Kenyan Red Cross Society,Red Cross,,RCRC,3304
Keren Hayesod,Other,,Other,2561
KESI,Red Cross,,RCRC,4578
Key Stone,Other,,Other,2028
KFUK/KFUM,NGOs,,NGOs and CSOs,2045
KFW Development,DAC governments,,Public Sector,6544
KFW Development | United Nations Children's Fund,Undefined,,Other,NA
Khadija Foundation for Development,Undefined,,Other,8287
Khalifa Bin Zayed Al Nahyan Foundation,Foundations,,NGOs and CSOs,30
Khanpur Azad Gram Unnayan Samity,NGOs,Local NGO,NGOs and CSOs,11082
Khartoum Teaching Hospital,Academia/think/research,,NGOs and CSOs,3276
Kher Khegara Tanzeem,NGOs,,NGOs and CSOs,6354
Khuram and Sarbagh Rehabilitation Organization,Private individual/organisation,,NGOs and CSOs,5843
Khushal Awareness and Development Organization,NGOs,,NGOs and CSOs,6318
Khwendo Kor,NGOs,National NGO,NGOs and CSOs,5056
Kids and Women Organization,Other,,Other,4469
Kids in Distressed Situations,Private individual/organisation,,NGOs and CSOs,5664
Kimse Yok Mu Solidarity Foundation,Foundations,,NGOs and CSOs,2285
Kinder brauchen uns e.V,NGOs,,NGOs and CSOs,15
Kinderberg International e.V.,NGOs,,NGOs and CSOs,2971
Kinderdorf Pestalozzi,Foundations,,NGOs and CSOs,2960
Kindernothilfe e.V.,NGOs,International NGO,NGOs and CSOs,4015
King Hussein Cancer Foundation,NGOs,National NGO,NGOs and CSOs,10853
King Salman Humanitarian Aid and Relief Center,National government,,Public Sector,6770
Kings College London,Academia/think/research,,NGOs and CSOs,4370
Kiribati,National government,,Public Sector,9267
KISIMA Peace and Development Organization,Other,,Other,2378
Kissito Healthcare International,Private individual/organisation,,NGOs and CSOs,2291
"Kjemisk Forbund, Palestinagruppene",Other,,Other,1519
Klaila Organisation,Other,,Other,1861
Klub Inteligencji Katolickiej,NGOs,,,11961
Knowledge for Iraqi Women Society,NGOs,,NGOs and CSOs,3862
Kobü,Other,,Other,2842
Kode ti kwa,NGOs,National NGO,NGOs and CSOs,1190
Kofi Annan Foundation,Foundations,,NGOs and CSOs,7097
Kohsar Welfare and Educational Society,NGOs,,NGOs and CSOs,6388
Kokkyo naki Kodomotachi (Children without Borders),NGOs,International NGO,NGOs and CSOs,6066
Kolnische Franziskanerprovinz Bosnienhilfe,NGOs,,NGOs and CSOs,2999
Komitee Arzte,NGOs,,NGOs and CSOs,3786
Komitee Cap Anamur,NGOs,,NGOs and CSOs,3264
Kompetansesenteret for urfolksrettigheter,Other,,Other,1361
Koperativ Agrikol Tibiwon,Other,,Other,4461
Korea Campus Crusade for Christ,NGOs,,NGOs and CSOs,4000
Korea Food for the Hungry International,NGOs,,NGOs and CSOs,4875
"Korea, Democratic People's Republic of",National government,,Public Sector,3514
"Korea, Republic of",DAC governments,,Public Sector,2929
Korean Church Federation of Support for North Korea,Private individual/organisation,,NGOs and CSOs,3223
"Korean Reconciliation Committee, Archdiocese of Korea",Other,,Other,3047
Korean Sharing Movement,NGOs,,NGOs and CSOs,113
Korean Welfare Foundation,Foundations,,NGOs and CSOs,3042
KPR,Other,,Other,4773
Kreuz des Südens,NGOs,International NGO,NGOs and CSOs,5875
Kriminalomsorg.utdanningssent,Other,,Other,190
Kristna Freds,NGOs,,NGOs and CSOs,2289
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,NGOs,National NGO,NGOs and CSOs,NA
KSPM-ERP Integration Centre for Migrant Workers â€“ Ecumenical Refugee Program,NGOs,,,NA
KSPM-ERP Integration Centre for Migrant Workers – Ecumenical Refugee Program,NGOs,,,7099
Kuehne & Nagel,Private sector corporations,,Other,137
Kueng Community Development Agency,NGOs,Undefined NGO,NGOs and CSOs,742
Kurdish Human Rights Project,Private individual/organisation,,NGOs and CSOs,6610
Kurdistan Reconstruction and Development Society,NGOs,,NGOs and CSOs,3108
Kurdistan Save the Children,,,,6244
Kuwait Foundation for the Advancement of Science,Foundations,,NGOs and CSOs,8347
Kuwait Fund for Arab Economic Development,National government,,,8888
Kuwait Joint Relief Committee,Private individual/organisation,,NGOs and CSOs,6331
Kuwait Patients Helping Fund,NGOs,Southern International NGO,NGOs and CSOs,455
Kuwait Red Crescent Society,Red Cross,,RCRC,4009
Kuwaiti Social Reform Society,Private individual/organisation,,NGOs and CSOs,405
Kuwaiti Society for Relief,Red Cross,,RCRC,7474
Kuwaiti Yemeni Relief,NGOs,Southern International NGO,NGOs and CSOs,8166
Kvekerhjelp,Private individual/organisation,,NGOs and CSOs,1992
Kyrgyzstan,National government,,Public Sector,3906
Kyrgyzstan Red Cross,National Society,,,699
Kölnische Franziskanerprovinz Von Den Heiligen Drei Königen,Private individual/organisation,,NGOs and CSOs,79
L'Agora/Madani Dia,Other,,Other,1571
La Asociación Minga,NGOs,,NGOs and CSOs,860
